id,name,conference,division
1,Boston Bruins,Eastern,Atlantic
2,Buffalo Sabres,Eastern,Atlantic
3,Detroit Red Wings,Eastern,Atlantic
4,Florida Panthers,Eastern,Atlantic
5,Montreal Canadiens,Eastern,Atlantic
6,Ottawa Senators,Eastern,Atlantic
7,Tampa Bay Lightning,Eastern,Atlantic
8,Toronto Maple Leafs,Eastern,Atlantic
9,Carolina Hurricanes,Eastern,Atlantic
10,Columbus Blue Jackets,Eastern,Atlantic
11,New Jersey Devils,Eastern,Atlantic
12,New York Islanders,Eastern,Atlantic
13,New York Rangers,Eastern,Atlantic
14,Philadelphia Flyers,Eastern,Atlantic
15,Pittsburgh Penguins,Eastern,Atlantic
16,Washington Capitals,Eastern,Atlantic
17,Anaheim Ducks,Western,Pacific
18,Arizona Coyotes,Western,Pacific
19,Calgary Flames,Western,Pacific
20,Edmonton Oilers,Western,Pacific
21,Los Angeles Kings,Western,Pacific
22,San Jose Sharks,Western,Pacific
23,Vancouver Canucks,Western,Pacific
24,Vegas Golden Knights,Western,Pacific
25,Chicago Blackhawks,Western,Central
26,Colorado Avalanche,Western,Central
27,Dallas Stars,Western,Central
28,Minnesota Wild,Western,Central
29,Nashville Predators,Western,Central
30,St. Louis Blues,Western,Central
31,Winnipeg Jets,Western,Central
